week,content,late_reply_time,late_reply,percent_late_reply,content_Her,late_reply_time_Her,late_reply_Her,percent_late_reply_Her
1,23,15,0,0,23,15,0,0
2,2,2,0,0,3,2,0,0
3,8,6,1,0.166666667,9,6,1,0.166666667
4,2,2,0,0,4,2,0,0
5,5,4,1,0.25,4,4,0,0
6,2,2,0,0,1,1,0,0
7,18,12,0,0,22,13,0,0
8,169,131,3,0.022900763,289,131,0,0
9,161,126,6,0.047619048,342,126,2,0.015873016
10,178,120,3,0.025,231,120,1,0.008333333
11,198,151,2,0.013245033,380,150,2,0.013333333
12,538,363,6,0.016528926,835,363,6,0.016528926
13,179,135,5,0.037037037,315,135,2,0.014814815
14,111,85,6,0.070588235,147,85,5,0.058823529
15,98,72,7,0.097222222,144,72,2,0.027777778
16,70,53,1,0.018867925,119,54,0,0
17,303,200,4,0.02,352,199,1,0.005025126
18,265,183,4,0.021857923,346,183,7,0.038251366
19,657,435,3,0.006896552,815,436,4,0.009174312
20,1443,877,8,0.009122007,1632,875,21,0.024
21,1601,1021,11,0.010773751,2058,1022,28,0.02739726
22,1592,929,14,0.015069968,1734,929,14,0.015069968
23,1680,907,12,0.01323043,1820,908,21,0.023127753
24,1185,685,11,0.016058394,1296,683,20,0.029282577
25,810,447,7,0.015659955,843,449,21,0.046770601
26,642,391,10,0.025575448,719,390,19,0.048717949
27,1136,696,9,0.012931034,1441,696,12,0.017241379
28,1371,797,9,0.011292346,1554,796,20,0.025125628
29,2154,1307,8,0.006120888,2843,1309,27,0.020626432
30,1057,604,11,0.018211921,1260,602,19,0.031561462
31,756,462,6,0.012987013,1003,463,25,0.05399568
32,850,535,10,0.018691589,1139,535,23,0.042990654
33,1535,953,7,0.007345226,2116,955,15,0.015706806
34,1531,916,9,0.009825328,1968,914,29,0.031728665
35,918,585,6,0.01025641,1416,586,21,0.035836177
36,1305,814,7,0.008599509,1705,812,30,0.036945813
37,995,589,14,0.0237691,1185,591,25,0.042301184
38,305,172,11,0.063953488,301,171,27,0.157894737
39,206,120,6,0.05,219,119,18,0.151260504
40,492,296,5,0.016891892,584,297,29,0.097643098
41,412,226,7,0.030973451,462,225,37,0.164444444
42,707,364,13,0.035714286,671,365,31,0.084931507
43,805,456,6,0.013157895,837,455,26,0.057142857
44,635,353,5,0.014164306,709,355,31,0.087323944
45,509,275,6,0.021818182,482,273,18,0.065934066
46,469,257,8,0.031128405,465,257,30,0.116731518
47,529,317,6,0.018927445,608,318,36,0.113207547
48,566,328,5,0.015243902,634,327,36,0.110091743
49,479,264,3,0.011363636,480,265,25,0.094339623
50,269,125,8,0.064,232,124,25,0.201612903
51,36,17,2,0.117647059,36,19,7,0.368421053
